Miscellaneous_Expenses,Food_Innovation_Spend,Advertising,City,Profit
138671.8,167497.2,475918.1,Chicago,202443.83
153151.59,164745.7,448032.53,Mumbai,201974.06
102919.55,155589.51,412068.54,Tokyo,201232.39
120445.85,146520.41,387333.62,Chicago,193083.99
93165.77,144255.34,370302.42,Tokyo,176369.94
101588.71,134024.9,366995.36,Chicago,167173.12
148972.87,136763.46,131850.82,Mumbai,166304.51
147304.06,132446.13,328010.68,Tokyo,165934.6
150492.95,122690.52,315747.29,Chicago,162393.77
110453.17,125482.88,309115.62,Mumbai,159941.96
112368.11,104061.08,233294.95,Tokyo,156303.95
93564.61,102819.96,253878.55,Mumbai,154441.4
129094.38,96011.75,253973.44,Tokyo,151767.52
137269.07,94140.39,256798.93,Mumbai,144489.35
158321.42,122091.24,260646.92,Tokyo,142784.65
124390.84,116671.61,265910.23,Chicago,140099.04
123371.55,80161.11,268480.06,Mumbai,137174.93
146851.58,96805.16,286708.31,Chicago,135552.37
115949.79,93897.16,299053.57,Tokyo,134448.9
155288.11,88567.7,4134,Chicago,132958.86
115641.3,78401.86,302798.47,Mumbai,128656.03
155547.43,80537.47,303871.29,Chicago,121495.02
124556.75,76142.56,307453.26,Tokyo,120534.25
107525.03,69680.53,308902.73,Tokyo,118915.99
101055.34,79192.01,144708.81,Chicago,118734.04
141327.16,66812.71,142096.62,Mumbai,117586.34
145909.98,77476.87,138184.07,Tokyo,115915.54
129638.55,74255.6,357317.81,Chicago,115190.31
184419.56,68199.52,122282.2,Tokyo,113464.38
154806.06,67753.48,111272.38,Chicago,111186.64
117415.28,64142.48,95265.24,Tokyo,110119.59
154475.92,63284.38,92352.23,Chicago,107665.56
130993.61,65556.86,50219.25,Mumbai,107609.84
104831.49,57641.95,218768.81,Tokyo,106960.92
159467.92,48574.07,214931.67,Mumbai,106894.8
86821.44,48162.02,209651.64,Chicago,106661.51
128830.21,30811.76,205260.82,Tokyo,100890.19
53057.14,46217.95,201163.42,Mumbai,100131.14
67721.93,22377.59,189399.1,Chicago,91411.06
84756.09,40706.51,179133.3,Mumbai,91187.76
120320.05,30902.33,176929.67,Mumbai,88421.91
86484.77,30040.92,168604.71,Tokyo,87980.83
97963.63,25788.93,152135.11,Mumbai,81680.49
129156.3,17653.73,39668.17,Chicago,79940.98
156580.14,24325.74,32468.72,Mumbai,75382.33
125927.04,3148.23,6037.93,Chicago,75108.08
117590.21,3463.46,301248.46,Tokyo,59672.75
137200.92,2148,4134,Mumbai,52741.73
53517.15,2690.05,4134,Chicago,45855.41
118757.8,2148,49307.06,Mumbai,24863.4
